Goodreads Quote Id,Author,Book,ISBN,Quote,Tags,Quote Popularity,Order
7328671,"Iain M. Banks","Excession","","and was taken to the Forward Docks and a big, brightly lit hangar, where the Psychopath Class ex-Rapid Offensive Unit Frank Exchange of Views was waiting for her. Ulver laughed. 'It looks,' she snorted, 'like a dildo!' 'That's appropriate,' Churt Lyne said. 'Armed, it can fuck solar systems.","",10,1
389855,"Iain M. Banks","Use of Weapons (Culture, #3)","","I just think people overvalue argument because they like to hear themselves talk.","kindlehighlight",83,2
34378,"Cormac McCarthy","The Road","0307265439","There is no God and we are his prophets.","blasphemy, paraphrased, religion",804,3
219846,"Marcus Aurelius","The Meditations of Marcus Aurelius","142092611X","Men seek retreats for themselves, houses in the country, sea-shores, and mountains; and thou too art wont to desire such things very much. But this is altogether a mark of the most common sort of men, for it is in thy power whenever thou shalt choose to retire into thyself. For nowhere either with more quiet or more freedom from trouble does a man retire than into his own soul, particularly when he has within him such thoughts that by looking into them he is immediately in perfect tranquility; and I affirm that tranquility is nothing else than the good ordering of the mind. Constantly then give to thyself this retreat, and renew thyself; and let thy principles be brief and fundamental, which, as soon as thou shalt recur to them, will be sufficient to cleanse the soul completely, and to send thee back free from all discontent with the things to which thou returnest. For with what art thou discontented? With the badness of men? Recall to thy mind this conclusion, that rational animals exist for one another, and that to endure is a part of justice, and that men do wrong involuntarily; and consider how many already, after mutual enmity, suspicion, hatred, and fighting, have been stretched dead, reduced to ashes; and be quiet at last.- But perhaps thou art dissatisfied with that which is assigned to thee out of the universe.- Recall to thy recollection this alternative; either there is providence or atoms, fortuitous concurrence of things; or remember the arguments by which it has been proved that the world is a kind of political community, and be quiet at last.- But perhaps corporeal things will still fasten upon thee.- Consider then further that the mind mingles not with the breath, whether moving gently or violently, when it has once drawn itself apart and discovered its own power, and think also of all that thou hast heard and assented to about pain and pleasure, and be quiet at last.- But perhaps the desire of the thing called fame will torment thee.- See how soon everything is forgotten, and look at the chaos of infinite time on each side of the present, and the emptiness of applause, and the changeableness and want of judgement in those who pretend to give praise, and the narrowness of the space within which it is circumscribed, and be quiet at last. For the whole earth is a point, and how small a nook in it is this thy dwelling, and how few are there in it, and what kind of people are they who will praise thee.","philosophy",110,4
201428,"Herman Melville","Moby-Dick or, The Whale","0142437247","From beneath his slouched hat Ahab dropped a tear into the sea; nor did all the Pacific contain such wealth as that one wee drop.","",31,5
9344470,"Herman Melville","Moby Dick","1504041194","Queequeg explained to me that his world was very different from ours. However, one thing he learned quickly, was that within all groups of people there are kind men and there are unkind men.","herman-melville, kindness, mankind, moby-dick, worldview",10,6
1057233,"Scott  Meyer","Off to Be the Wizard (Magic 2.0, #1)","","He had spent a lot of time thinking about himself, and had come to the conclusion that he was definitely not self-absorbed.","",57,7
5153049,"Scott  Meyer","Off to Be the Wizard (Magic 2.0, #1)","","You see, faith doesn’t have to make sense. If it did, it wouldn’t be faith, it would be logic.","",20,8
963654,"Scott  Meyer","Off to Be the Wizard (Magic 2.0, #1)","","It’s amazing how quickly we get used to weirdness when it’s our own weirdness.","",13,9
5099566,"Scott  Meyer","Off to Be the Wizard (Magic 2.0, #1)","","He tried to come up with a word that meant “witch,” that didn’t have any insulting or demeaning overtones. He couldn’t. In fact, after some thought, he couldn’t think of a word that meant female that men hadn’t imbued with some belittling shade of meaning. Finally, after a much longer silence than he had intended, he simply said, “I can understand why.","",10,10
6666895,"Scott  Meyer","Off to Be the Wizard (Magic 2.0, #1)","","The advantage that religion has over magic or science is that man’s inability to understand is built into the system, so if an explanation is confusing or unsatisfying, it strengthens the point.","",8,11
7199820,"Scott  Meyer","Off to Be the Wizard (Magic 2.0, #1)","","They couldn’t prove themselves right, so they channeled their energies into proving the other side wrong.","",10,12
1280873,"Scott  Meyer","Off to Be the Wizard (Magic 2.0, #1)","","In fact, after some thought, he couldn’t think of a word that meant female that men hadn’t imbued with some belittling shade of meaning.","",4,13
7172449,"Scott  Meyer","Off to Be the Wizard (Magic 2.0, #1)","","The day we stop learning is the day we stop living.","",4,14
1249649,"Scott  Meyer","Off to Be the Wizard (Magic 2.0, #1)","","Sure, as a teenager he’d experimented with the whole pose, but found that rebelling against everything all the time was just too exhausting.","",3,15
6718903,"Scott  Meyer","Off to Be the Wizard (Magic 2.0, #1)","","Phillip shook his head. “I understand all of these specs, but the numbers are all so large, I don’t know what any of it means. What on earth can a person do with four gigabytes of RAM?” “Upgrade it immediately,” Martin answered.","",2,16
7293380,"Scott  Meyer","Off to Be the Wizard (Magic 2.0, #1)","","He drove to work, his car a sunny little island of calm in the middle of the swollen river of misery that was the morning commute.","",2,17
790945,"Iain M. Banks","Use of Weapons (Culture, #3)","185723135X","Zakalwe, in all human societies we have ever reviewed, in every age and every state, there has seldom if ever been a shortage of eager young males prepared to kill and die to preserve the security, comfort and prejudices of their elders, and what you call heroism is just an expression of this simple fact; there is never a scarcity of idiots.","",153,18
818965,"Iain M. Banks","Use of Weapons (Culture, #3)","185723135X","Most people are not prepared to have their minds changed,"" he said. ""And I think they know in their hearts that other people are just the same, and one of the reasons people become angry when they argue is that they realize just that, as they trot out their excuses.""<br/><br/>""<i>Excuses</i>, eh?"" Well, if this ain't cynicism, what is?"" Erens snorted.<br/><br/>""Yes, excuses,"" he said, with what Erens thought might just have been a trace of bitterness. ""I strongly suspect the things people believe in are usually just what they instinctively feel is right; the excuses, the justifications, the things you're supposed to argue about, come later. They're the least important part of the belief. That's why you can destroy them, win an argument, prove the other person wrong, and still they believe what they did in the first place."" He looked at Erens. ""You've attacked the wrong thing.","arguments, belief, erens, excuses, instinct, justifications",50,19
697974,"Iain M. Banks","Use of Weapons (Culture, #3)","185723135X","But it was pointless, it was stupid; he thought about thoughtless things. If I were a seabird . . . but how could you be a seabird? If you were a seabird your brain would be tiny and stupid and you would love half-rotted fish guts and tweaking the eyes out of little grazing animals; you would know no poetry and you could never appreciate flying as fully as the human on the ground yearning to be you.<br/>If you wanted to be a seabird you deserved to be one.","",39,20
